1.000000000000000000e+00,9.997707798553395753e-01
4.000000000000000000e+00,9.995294135758104881e-01
7.000000000000000000e+00,9.993868396164745649e-01
1.000000000000000000e+01,9.992900097184634900e-01
1.300000000000000000e+01,9.992528963770862527e-01
1.600000000000000000e+01,9.991865071900314366e-01
1.900000000000000000e+01,9.991250767944963584e-01
2.200000000000000000e+01,9.990976987256240394e-01
2.500000000000000000e+01,9.990149168616090369e-01
2.800000000000000000e+01,9.988805526397458445e-01
3.100000000000000000e+01,9.986323739961306956e-01
3.400000000000000000e+01,9.983192121500212846e-01
3.700000000000000000e+01,9.977112295022259048e-01
4.000000000000000000e+01,9.969760856781569869e-01
4.300000000000000000e+01,9.962015381642621570e-01
4.600000000000000000e+01,9.945947106841794838e-01
4.900000000000000000e+01,9.912115680328699163e-01
5.200000000000000000e+01,9.846850320213698105e-01
5.500000000000000000e+01,9.711642734263905563e-01
5.800000000000000000e+01,9.510373609368484304e-01
6.100000000000000000e+01,9.268488282883410312e-01
6.400000000000000000e+01,9.005170647832009267e-01
6.700000000000000000e+01,8.754942456894583280e-01
7.000000000000000000e+01,8.507741450907343461e-01
7.300000000000000000e+01,8.230902593539775047e-01
7.600000000000000000e+01,7.977891613248848657e-01
7.900000000000000000e+01,7.650598030242337089e-01
8.200000000000000000e+01,7.247541521501976725e-01
8.500000000000000000e+01,6.777339708128490292e-01
8.800000000000000000e+01,6.287312150952079071e-01
9.100000000000000000e+01,5.796404948892915909e-01
9.400000000000000000e+01,5.377867915982047498e-01
9.700000000000000000e+01,5.072491359488940921e-01
1.000000000000000000e+02,4.840929369607482879e-01
1.030000000000000000e+02,4.701833101712746821e-01
1.060000000000000000e+02,4.502281507880983580e-01
1.090000000000000000e+02,4.297497972254794019e-01
1.120000000000000000e+02,4.061739832904346925e-01
1.150000000000000000e+02,3.778157239777248377e-01
1.180000000000000000e+02,3.412123175432376643e-01
1.210000000000000000e+02,2.995482180482118562e-01
1.240000000000000000e+02,2.568279200749936653e-01
1.270000000000000000e+02,2.113730962754599707e-01
1.300000000000000000e+02,1.694145273189292533e-01
1.330000000000000000e+02,1.360351076078122057e-01
1.360000000000000000e+02,1.149110576359059499e-01
1.390000000000000000e+02,1.028844975975345410e-01
1.420000000000000000e+02,9.521388782907409809e-02
1.450000000000000000e+02,8.914382749256009875e-02
1.480000000000000000e+02,8.360699551160415133e-02
1.510000000000000000e+02,7.741908528061848538e-02
1.540000000000000000e+02,6.966916611542660343e-02
1.570000000000000000e+02,6.416549372630586667e-02
1.600000000000000000e+02,6.075201226617676920e-02
1.630000000000000000e+02,5.703314677175742864e-02
1.660000000000000000e+02,5.448846273852574196e-02
1.690000000000000000e+02,5.448846273852574196e-02
1.720000000000000000e+02,5.448846273852574196e-02
1.750000000000000000e+02,5.448846273852574196e-02
1.780000000000000000e+02,5.448846273852574196e-02
1.810000000000000000e+02,5.448846273852574196e-02
1.840000000000000000e+02,5.448846273852574196e-02
